word,definitionEnglish,definitionNative,exampleSentence1,exampleSentence1English,exampleSentence2,exampleSentence2English,dialect,pos,domain
Ababwiju,The Ababwiju clan comes the Director kings Rituals.,Ababwiju aruga mukuruwemurwa yomukama.,Ababwiju aruga mukuruwemurwa yomukama.,The Ababwiju clan comes the Director kings Rituals.,,,Both,,
Obujoka bw'omumaiso,Onchocerciasis causes itching in the eyes.,Obujoka bw'omumaiso nibukuletera kurumwarumwa.,Obujoka bw'omumaiso nibukuletera kurumwarumwa.,Onchocerciasis causes itching in the eyes.,,,Both,,
Obujojo,Elephantiasis makes the legs swell.,Obujojo nibuzimbisa amaguru.,Obujojo nibuzimbisa amaguru.,Elephantiasis makes the legs swell.,,,Both,,
Kutangira,The children got vaccination.,Abaana batungire omubazi gw'okutangira.,Abaana batungire omubazi gw'okutangira.,The children got vaccination.,,,Both,,
Kugema,Bring the children for immunization.,Mulete abaana babageme.,Mulete abaana babageme.,Bring the children for immunization.,,,Both,,
Kwimukya,The doctor gave us medicine for boosting immunity.,Dakitali atuhaire omubazi gw'okwimukya abasirukaale bomubiri,Dakitali atuhaire omubazi gw'okwimukya abasirukaale bomubiri,The doctor gave us medicine for boosting immunity.,,,Both,,
Kutahirirwa,An infection can make you very weak.,Kutahirirwa endwaire nekimara amaani.,Kutahirirwa endwaire nekimara amaani.,An infection can make you very weak.,,,Both,,
obuhuka,Some small bacteria which can cause diseases.,obuhuka obutaito obukuleta endwaire.,obuhuka obutaito obukuleta endwaire.,Some small bacteria which can cause diseases.,,,Both,,
Entahirizi,The corona virus broke out in 2019.,Entahirizi ya corona ekatutahirra omu 2019.,Entahirizi ya corona ekatutahirra omu 2019.,The corona virus broke out in 2019.,,,Both,,
Emibazi,Those drugs require so much money.,Emibazi egi neyeta sente nyingi,Emibazi egi neyeta sente nyingi,Those drugs require so much money.,,,Both,,
Akajuma,The tablet is bitter.,Akajuma nikasaarra.,Akajuma nikasaarra.,The tablet is bitter.,,,Both,,
Abagaya,The ABAGAYA are the first to act in all what they do.,Abagaya bantu bekambi omubintu byona Ebikora.,Abagaya bantu bekambi omubintu byona Ebikora.,The ABAGAYA are the first to act in all what they do.,,,Both,,
Orulera,The doctor cuts the Umblical cord.,orulera rusarwa dakitali.,orulera rusarwa dakitali.,The doctor cuts the Umblical cord.,,,Both,,
Ebyenyuma,The are waiting for the placenta to come out so that they can clean her.,Balinzire ebyenyuma kurugayo bamusimule.,Balinzire ebyenyuma kurugayo bamusimule.,The are waiting for the placenta to come out so that they can clean her.,,,Both,,
Amazire kuzaara,she needs to rest afterbirth.,Amazire kuzaara nayetaaga kuhumuraho.,Amazire kuzaara nayetaaga kuhumuraho.,she needs to rest afterbirth.,,,Both,,
Kusemeza,She was unable to push so she got a caesarean.,Tasindikire bamusemize.,Tasindikire bamusemize.,She was unable to push so she got a caesarean.,,,Both,,
Kusisikara,She has an eye impairment.,Asisikaire amaiso.,Asisikaire amaiso.,She has an eye impairment.,,,Both,,
Okuhutara ekihaha,Bronchitis killed him after he smoked a lot.,Okuhutara ekihaha kukamwita hanyima yokunywa muno etaaba.,Okuhutara ekihaha kukamwita hanyima yokunywa muno etaaba.,Bronchitis killed him after he smoked a lot.,,,Both,,
Ebigenge,Liprosy is a trasmitted disease.,Ebigenge biturra.,Ebigenge biturra.,Liprosy is a trasmitted disease.,,,Both,,
Iraru,The dog bit the child and he got rabies.,Omwana akarumwa embwa yagwa iraru.,Omwana akarumwa embwa yagwa iraru.,The dog bit the child and he got rabies.,,,Both,,
Empungira,He is suffering from sleeping sickness.,Arwaire okuhungira.,Arwaire okuhungira.,He is suffering from sleeping sickness.,,,Both,,
Ebijuju,He has contracted trypansormiasis.,Oburwaire bw'ebijuju bumukwasire,Oburwaire bw'ebijuju bumukwasire,He has contracted trypansormiasis.,,,Both,,
Ekimera,Aloe vera is a plant.,Enkokorutanga kimera.,Enkokorutanga kimera.,Aloe vera is a plant.,,,Both,,
Ekisaka,The herb treated his skin.,Ekisaka kikamutambira orususu.,Ekisaka kikamutambira orususu.,The herb treated his skin.,,,Both,,
Ekikoora,some leaves are used to treat diseases.,Ebikoora ebimu bitamba endwaire.,Ebikoora ebimu bitamba endwaire.,some leaves are used to treat diseases.,,,Both,,
Omuhama,Phoenix recline root cures impotence.,Omuhama gw'omukindo gutamba obuferwa,Omuhama gw'omukindo gutamba obuferwa,Phoenix recline root cures impotence.,,,Both,,
Ekisusu,There are also sicknesses cured by bark (tree coverings).,Ekisusu nakyo niike ebkibitamba.,Ekisusu nakyo niike ebkibitamba.,There are also sicknesses cured by bark (tree coverings).,,,Both,,
ABABBOPI,The queen to the king Solomon Iguru is a mubbopukati.,Omugo wa omukama Soromon iguru aba Mubbopikati.,Omugo wa omukama Soromon iguru aba Mubbopikati.,The queen to the king Solomon Iguru is a mubbopukati.,,,Both,,
Embibo,These seeds are not good.,Embibo zinu tizirizirungi.,Embibo zinu tizirizirungi.,These seeds are not good.,,,Both,,
Ensese,Dysentry makes one peaceless.,Ensese nibuza obusinge,Ensese nibuza obusinge,Dysentry makes one peaceless.,,,Both,,
Birihaziya,Clean water prevents bilharzia.,Amaizi agarucwera gatangiira birihaziya.,Amaizi agarucwera gatangiira birihaziya.,Clean water prevents bilharzia.,,,Both,,
Edwaire,Schistosomiasis kills.,Edwaire niita,Edwaire niita,Schistosomiasis kills.,,,Both,,
obuhuka bw'amaiso,River blindness can cause permanent blindness.,obuhuka bw'amaiso nibukufora kimbara.,obuhuka bw'amaiso nibukufora kimbara.,River blindness can cause permanent blindness.,,,Both,,
Endwaire ezinagizibwe,Bad odour is an NTD.,Ekikara Endwaire enagizibwe,Ekikara Endwaire enagizibwe,Bad odour is an NTD.,,,Both,,
Sukaali,The elderly usually suffer from diabetes.,Abagurusi bakiira kurwara Sukaali.,Abagurusi bakiira kurwara Sukaali.,The elderly usually suffer from diabetes.,,,Both,,
Pulesa,He had hypertension and he fainted.,Pulesa ye ebaire haiguru yakaba.,Pulesa ye ebaire haiguru yakaba.,He had hypertension and he fainted.,,,Both,,
Oburwaire bw'omutima,Heart disease kills.,Oburwaire bw'omutima nibwiita.,Oburwaire bw'omutima nibwiita.,Heart disease kills.,,,Both,,
kusarara,He got a stroke when he hit his head on the floor.,Akusarara omuyatiire omutwe hansi.,Akusarara omuyatiire omutwe hansi.,He got a stroke when he hit his head on the floor.,,,Both,,
Ekokoro,He died of cancer.,Akaitwa ekokoro.,Akaitwa ekokoro.,He died of cancer.,,,Both,,
Ekizimba,He was found with a tumor in his head.,Bakamusanga n'ekizimba mumutwe.,Bakamusanga n'ekizimba mumutwe.,He was found with a tumor in his head.,,,Both,,
Tikirumukokoro,The doctor said that the tumor is benign.,Dakitali agambire ngu ekizimba tikirumukokoro.,Dakitali agambire ngu ekizimba tikirumukokoro.,The doctor said that the tumor is benign.,,,Both,,
Okuhwebwamu esagama,Poor feeding made her develop anemia.,kurya kubi kukamuletera Okuhwebwamu esagama.,kurya kubi kukamuletera Okuhwebwamu esagama.,Poor feeding made her develop anemia.,,,Both,,
Obuheereza bwa boona.,All countries should have universal health coverage.,Amahanga gona gasemerire gagire Obuheereza bwa boona.,Amahanga gona gasemerire gagire Obuheereza bwa boona.,All countries should have universal health coverage.,,,Both,,
Ebisa,The had contractions for a very long time.,Ebisa bimurumire habw'obwire bwingi.,Ebisa bimurumire habw'obwire bwingi.,The had contractions for a very long time.,,,Both,,
obutafali kufoka ekisalizo musagama,Even her mother didn't live long because of sickle cell.,Nanyina atahangale habw'obutafali kufoka ekisalizo musagama.,Nanyina atahangale habw'obutafali kufoka ekisalizo musagama.,Even her mother didn't live long because of sickle cell.,,,Both,,
Obujanjabi bw'ekokoro,chemotherapy is very costly.,Obujanjabi bw'ekokoro bwasente nyingi.,Obujanjabi bw'ekokoro bwasente nyingi.,chemotherapy is very costly.,,,Both,,
Ekimulikyo ky'ekokoro,The is getting radiation as her treatment for cancer.,endwaire ye nejanjabibwa ekimulikyo ky'ekokoro.,endwaire ye nejanjabibwa ekimulikyo ky'ekokoro.,The is getting radiation as her treatment for cancer.,,,Both,,
Okusemeza ekokoro,Kazooba is going for surgery of his leg that has cancer.,Kazooba nagenda kusemizibwa ekokoro y'okuguru,Kazooba nagenda kusemizibwa ekokoro y'okuguru,Kazooba is going for surgery of his leg that has cancer.,,,Both,,
Amacu,Asthma makes her breath badly.,Amacu gamuletera kwicya kubbi.,Amacu gamuletera kwicya kubbi.,Asthma makes her breath badly.,,,Both,,
Kuhumuliza ebitekerezo,He got so depressed now he needs psychotherapy.,Akenuba muno hati nayetaaga Kuhumuliza ebitekerezo.,Akenuba muno hati nayetaaga Kuhumuliza ebitekerezo.,He got so depressed now he needs psychotherapy.,,,Both,,
Abakufaho,He needs a support group after his mother's burial.,Nayetaaga abakufaho hanyima y'okuzika kw'amamawe.,Nayetaaga abakufaho hanyima y'okuzika kw'amamawe.,He needs a support group after his mother's burial.,,,Both,,
Kuba kurungi,Ones wellbeing is very important.,Buli omu Kuba kurungi ky'omugaso muno.,Buli omu Kuba kurungi ky'omugaso muno.,Ones wellbeing is very important.,,,Both,,
Kuba mwomezi,wellness affects wellbeing.,Kuba mwomezi kigenda n'okuba kurungi.,Kuba mwomezi kigenda n'okuba kurungi.,wellness affects wellbeing.,,,Both,,
Obulema,The child has a disability.,Omwana aine obulema,Omwana aine obulema,The child has a disability.,,,Both,,
Bombo,Bring the syringe,Leta bombo,Leta bombo,Bring the syringe,,,Both,,
Enkinzo,The needle hurts alot.,Enkinzo nesasa muno.,Enkinzo nesasa muno.,The needle hurts alot.,,,Both,,
Akahyo komusemeziisa,The doctor is holding a scalpel.,Dakitali akwasire Akahyo komusemeziisa.,Dakitali akwasire Akahyo komusemeziisa.,The doctor is holding a scalpel.,,,Both,,
Obwooma oburukiisa,He used forceps.,Akozesese Obwooma oburukiisa.,Akozesese Obwooma oburukiisa.,He used forceps.,,,Both,,
Akaheta,she chose to use an IUD.,Akakomamu akaheta.,Akakomamu akaheta.,she chose to use an IUD.,,,Both,,
Omwenubo,The girl has a lot of stress.,Omwisiki aine omwenubo mwingi.,Omwisiki aine omwenubo mwingi.,The girl has a lot of stress.,,,Both,,
Obusaasi obuhinguraine,He ha trauma after his mom's death.,Aine obusaasi obuhinguraine hanyima kufa kwa mamawe.,Aine obusaasi obuhinguraine hanyima kufa kwa mamawe.,He ha trauma after his mom's death.,,,Both,,
Okwenuuba okuhinguraine,PTSD has made him lose weight.,Okwenuuba okuhinguraine kumuletire kuceka.,Okwenuuba okuhinguraine kumuletire kuceka.,PTSD has made him lose weight.,,,Both,,
Kweyiita,The Bible is against suicide.,Bibuli nataanga Kweyiita.,Bibuli nataanga Kweyiita.,The Bible is against suicide.,,,Both,,
kwehutaazaa,The boy has a lot of anger which leads him to self-harm.,omwana aine ekiniiga nikimuletera kwehutaazaa,omwana aine ekiniiga nikimuletera kwehutaazaa,The boy has a lot of anger which leads him to self-harm.,,,Both,,
kugumyagumya,He needs counseling.,Nayetaaga kugumyagumya.,Nayetaaga kugumyagumya.,He needs counseling.,,,Both,,
Ekyorooni,The child has learnt hoe to use a latrine.,omwana ayegere kukozesa ekyorooni.,omwana ayegere kukozesa ekyorooni.,The child has learnt hoe to use a latrine.,,,Both,,
Obujanjabi obukuru,Primary Health Care is a bare minimum even in rural areas.,Obujanjabi obukuru nomubyaro buhikayo.,Obujanjabi obukuru nomubyaro buhikayo.,Primary Health Care is a bare minimum even in rural areas.,,,Both,,
obujanjabi obutongoire,secondary care is often paid for.,obujanjabi obutongoire bukira kusasulirwa.,obujanjabi obutongoire bukira kusasulirwa.,secondary care is often paid for.,,,Both,,
Obujanjabi obwahaiguru,Tertiary care is very expensive.,Obujanjabi obwahaiguru bwa sente nyingi.,Obujanjabi obwahaiguru bwa sente nyingi.,Tertiary care is very expensive.,,,Both,,
Obujanjabi obwa bwangobwango,He got emergency care after the accident.,Akatunga obujanjabi obwa bwangobwango hanyuma yabutandu.,Akatunga obujanjabi obwa bwangobwango hanyuma yabutandu.,He got emergency care after the accident.,,,Both,,
Obujanjabi bwahonaho,He needs urgent care.,nayetaga obujanjabi bwahonaho.,nayetaga obujanjabi bwahonaho.,He needs urgent care.,,,Both,,
Insuwa,Their company gives them insurance.,Ekitongole kyabo nikibaha insuwa.,Ekitongole kyabo nikibaha insuwa.,Their company gives them insurance.,,,Both,,
Ebisale bw'obujanjabi,The medical expenses were very high.,Ebisale bw'obujanjabi bibaire bingi.,Ebisale bw'obujanjabi bibaire bingi.,The medical expenses were very high.,,,Both,,
obujanjabi obwa busa,Free healthcare is very helpful.,obujanjabi obwa busa burungi.,obujanjabi obwa busa burungi.,Free healthcare is very helpful.,,,Both,,
omubazi oguhinguraine,An overdose can kill.,omubazi oguhinguraine nagwo nigwita.,omubazi oguhinguraine nagwo nigwita.,An overdose can kill.,,,Both,,
Akagaali,The lame man was given a wheelchair.,Omulema bakamuha akagaali.,Omulema bakamuha akagaali.,The lame man was given a wheelchair.,,,Both,,
Omwigo,It is not easy to use a crutch.,omwigo tigwanguhire kugukozesa.,omwigo tigwanguhire kugukozesa.,It is not easy to use a crutch.,,,Both,,
Ekisanirizo,He bought a prosthetic leg.,Akagura ekisanirizo ky'okuguru.,Akagura ekisanirizo ky'okuguru.,He bought a prosthetic leg.,,,Both,,
Kugarraho,He was taken in for rehabilitation.,Baka mugarraho,Baka mugarraho,He was taken in for rehabilitation.,,,Both,,
Kugonyorra,The old man needs physiotherapy.,Omugurusi nayetaaga Kugonyorra.,Omugurusi nayetaaga Kugonyorra.,The old man needs physiotherapy.,,,Both,,
Obujanjabi bw'omutwe,The boy needs therapy.,Omwojo nayetaaga obujanjabi bw'omutwe.,Omwojo nayetaaga obujanjabi bw'omutwe.,The boy needs therapy.,,,Both,,
Obuzibu,The teacher has an allercy to do with dust.,Omwegesa aine obuzibu necucu.,Omwegesa aine obuzibu necucu.,The teacher has an allercy to do with dust.,,,Both,,
Kutagonza,Her body is alleric to cold water.,Omubirigwe tigugonza amaizi agakufuka.,Omubirigwe tigugonza amaizi agakufuka.,Her body is alleric to cold water.,,,Both,,
Okubaaga,The surgeon prayed before starting the surgical procedure.,Omusaho akabanza yasaba atakandikire kubaaga.,Omusaho akabanza yasaba atakandikire kubaaga.,The surgeon prayed before starting the surgical procedure.,,,Both,,
Enseruliza,His medical condition requires a procedure.,oburwairebwe nibwetaga enseruliza.,oburwairebwe nibwetaga enseruliza.,His medical condition requires a procedure.,,,Both,,
kujanjaba,He was given medication at the hospital.,Bamuhaire obujanjabi hairwarro.,Bamuhaire obujanjabi hairwarro.,He was given medication at the hospital.,,,Both,,
Endagiroo,the prescription is one times three.,Endagiroo negamba kamu emirundi esatu,Endagiroo negamba kamu emirundi esatu,the prescription is one times three.,,,Both,,
akati k'omukono,The lady has an implant.,omkaizi aine akati k'omukono.,omkaizi aine akati k'omukono.,The lady has an implant.,,,Both,,
enfabu,the sheild protect the fighter not be speared,enfabu ekingara omurwani amacumu gata mukwata,enfabu ekingara omurwani amacumu gata mukwata,the sheild protect the fighter not be speared,,,Both,,
ekyesomeko,amori worn all the body to protection the soldier from coming spear,ekyesomeko kijwarwa omubiro gwona nukwokirinde omusiri kale ata hikwaho amacumu,ekyesomeko kijwarwa omubiro gwona nukwokirinde omusiri kale ata hikwaho amacumu,amori worn all the body to protection the soldier from coming spear,,,Both,,
esapeeho,the helmet is worn on the head,esapeeho ejwarwa hamutwe,esapeeho ejwarwa hamutwe,the helmet is worn on the head,,,Both,,
Okusara enseke omubakazi,Sterilization is a permanent birth control method.,Okusara enseke omubakazi nikitangira kimu kuzara.,Okusara enseke omubakazi nikitangira kimu kuzara.,Sterilization is a permanent birth control method.,,,Both,,
okusara enseke omubasaija,vasectomy is rarely an option for men.,okusara enseke omubasaija tikikukanya.,okusara enseke omubasaija tikikukanya.,vasectomy is rarely an option for men.,,,Both,,
Amaizi amecumi,Clean water is good for drinking.,Amaizi amecumi marungi gokunywa.,Amaizi amecumi marungi gokunywa.,Clean water is good for drinking.,,,Both,,
Obwecumi,Good hygiene is really an essential.,Obwecumi kintu kikuru muno.,Obwecumi kintu kikuru muno.,Good hygiene is really an essential.,,,Both,,
Obuyonjo,Poor sanitation causes diseases.,Obuyonjo obubi buleta endwaire.,Obuyonjo obubi buleta endwaire.,Poor sanitation causes diseases.,,,Runyoro,,
Kunaaba engaro,Handwashing before eating helps to prevent cholera.,Kunaaba engaro otakalire kitamba colera.,Kunaaba engaro otakalire kitamba colera.,Handwashing before eating helps to prevent cholera.,,,Both,,
Kusemba,I want to dress my wound.,Ninyenda kusemba ekihoya.,Ninyenda kusemba ekihoya.,I want to dress my wound.,,,Both,,
Akasembo,The wound was small so we covered it with a plaster.,Akahoya kabaire kataito twatekaho akasembo.,Akahoya kabaire kataito twatekaho akasembo.,The wound was small so we covered it with a plaster.,,,Both,,
goozi,use the gauze to cover your wound.,wekonyeze goozi kusemba ekihoya kyawe.,wekonyeze goozi kusemba ekihoya kyawe.,use the gauze to cover your wound.,,,Both,,
Kuhagara,severe Anaphylaxis can lead to death.,Kuhagara kw'omubiri okwamaani nikusobora kuleta kufa.,Kuhagara kw'omubiri okwamaani nikusobora kuleta kufa.,severe Anaphylaxis can lead to death.,,,Both,,
Kaseji,Carthage was an important city in Roman Empire.,Kaseji Rukaba rubuga rukuru muno omu Bukama bwa Roma.,Kaseji Rukaba rubuga rukuru muno omu Bukama bwa Roma.,Carthage was an important city in Roman Empire.,,,Both,,
Fonisiya,Phoenicia civilization of the old in Levant.,Fonisiya kuhweza kwa kara muno omunsi ya levent.,Fonisiya kuhweza kwa kara muno omunsi ya levent.,Phoenicia civilization of the old in Levant.,,,Both,,
Obukama bwa Kusi,Kingdom of Kush was in the South of Egypt.,Obukama bwa Kusi bukaba omumasirimuka ga Misiri.,Obukama bwa Kusi bukaba omumasirimuka ga Misiri.,Kingdom of Kush was in the South of Egypt.,,,Both,,
akizumu,axum first resisted coconialism in africa,akizumu bukama obwabandize kwansirra abalenzi bamamatwara,akizumu bukama obwabandize kwansirra abalenzi bamamatwara,axum first resisted coconialism in africa,,,Both,,
zimbambwe rurangarwa,zimbambwe was a great city long ago,zimbabwe era rwali rubuga rwamaani,zimbabwe era rwali rubuga rwamaani,zimbambwe was a great city long ago,,,Both,,
okuhamba,conquest happens when a strong nation wins the battle and puts it under control.,okuhamba kubaho obu hanga kirimani obulisingura erindi bakarunyaga,okuhamba kubaho obu hanga kirimani obulisingura erindi bakarunyaga,conquest happens when a strong nation wins the battle and puts it under control.,,,Both,,
obutwa,He took poison and died.,Akanywa obutwa yafa.,Akanywa obutwa yafa.,He took poison and died.,,,Both,,
Kufungurwa,Anyone who has taken poison has to be given an antidote.,Omuntu anywire obutwa aine kufungurwa.,Omuntu anywire obutwa aine kufungurwa.,Anyone who has taken poison has to be given an antidote.,,,Both,,
Obujanjambi obukubandizibwaho,An accident victim is always given first aid.,omuntu obwatunga butandu atunga obujanjambi obukubandizibwaho.,omuntu obwatunga butandu atunga obujanjambi obukubandizibwaho.,An accident victim is always given first aid.,,,Both,,
Orupimo,You are supposed to follow the dosage.,osemerire ohondere orupimo.,osemerire ohondere orupimo.,You are supposed to follow the dosage.,,,Both,,
Kurugirwamu,Injections at times have side effects.,enkinzo obumu zigira kurugirwamu.,enkinzo obumu zigira kurugirwamu.,Injections at times have side effects.,,,Both,,
Kugugumuka,My reaction was very scary.,Kugugumuka kwange kukaba kwokutinisa.,Kugugumuka kwange kukaba kwokutinisa.,My reaction was very scary.,,,Both,,
busutama,sword was used in many battles in the past,buzitama ekaruwana amalemu maingi omubiro ebyaura,buzitama ekaruwana amalemu maingi omubiro ebyaura,sword was used in many battles in the past,,,Both,,
icumu,the spear is owned by every head of the family in bunyoro and tooro,icumu kyokurwanisa ekitungwa buli nyineka omunsiya bunyorona tooro,icumu kyokurwanisa ekitungwa buli nyineka omunsiya bunyorona tooro,the spear is owned by every head of the family in bunyoro and tooro,,,Both,,
obuta,bows was the first to shoot far before the guncame inexistance,obutanikyo kyorwanisa ekyabandizi kurasira hara,obutanikyo kyorwanisa ekyabandizi kurasira hara,bows was the first to shoot far before the guncame inexistance,,,Both,,
akasogi,the arrow is used together with the bow,akasogi kakorra ramu nobuta,akasogi kakorra ramu nobuta,the arrow is used together with the bow,,,Both,,
okurwana,The battle between Tanzania and Amin was very threatening.,Okurwana hagati ya Tanzania na Amin kukatiniisa muno.,Okurwana hagati ya Tanzania na Amin kukatiniisa muno.,The battle between Tanzania and Amin was very threatening.,,,Both,,
Kafumura,The Siege engine is used to break through.,Kafumura munda enya kufumura Abagosire.,Kafumura munda enya kufumura Abagosire.,The Siege engine is used to break through.,,,Both,,
obulemu,War is very bad.,Obulemukintu kibi muno.,Obulemukintu kibi muno.,War is very bad.,,,Both,,
Okugota,Siege is when the army surrounds another.,Okugota nubwo Amahe gehunguliriza Agandi.,Okugota nubwo Amahe gehunguliriza Agandi.,Siege is when the army surrounds another.,,,Both,,
Butidda,Catapult is used to hit birds.,Butidda erasa ebinyonyi.,Butidda erasa ebinyonyi.,Catapult is used to hit birds.,,,Both,,
Kacwanyigi,Battering ram is called Kacwamiti,Kacwanyigi kyoma kicwa enyigi.,Kacwanyigi kyoma kicwa enyigi.,Battering ram is called Kacwamiti,,,Both,,
ekigadi,chariot was used to carry weapons and other items to use in the battle,ekigadi rra kyahimbaga ebyokurwanisa nebintu byobulemu,ekigadi rra kyahimbaga ebyokurwanisa nebintu byobulemu,chariot was used to carry weapons and other items to use in the battle,,,Both,,
embarasi,horse was used carry the fighter and itself was trained,embarasi zakosibwaga abarwani kandinazo zakango itendekarwe,embarasi zakosibwaga abarwani kandinazo zakango itendekarwe,horse was used carry the fighter and itself was trained,,,Both,,
Kwonkya,The woman is breastfeeding her baby.,Omukazi nayonkya omwanawe,Omukazi nayonkya omwanawe,The woman is breastfeeding her baby.,,,Both,,
Muto,I met an infact moving alone.,Ntangaine omwana muto narubata wenka.,Ntangaine omwana muto narubata wenka.,I met an infact moving alone.,,,Both,,
Omwana,The children beat their fellow child.,Abaana batiire omwana mugenzi wabo.,Abaana batiire omwana mugenzi wabo.,The children beat their fellow child.,,,Both,,
Ekikoba,He fractured his leg and he was tied with a bandage.,Akacweka okuguru bamutaho ekikoba.,Akacweka okuguru bamutaho ekikoba.,He fractured his leg and he was tied with a bandage.,,,Both,,
okuseesera,"Another country to invade another one like what Russia did to Ukraine, its wrong.",Ihanga okuseera erindi nka Russia okuyasesiire Ukraine kisobere.,Ihanga okuseera erindi nka Russia okuyasesiire Ukraine kisobere.,"Another country to invade another one like what Russia did to Ukraine, its wrong.",,,Both,,
Babironi,"Babylon one time conquered Israel, took them took them to exile for 70 years.",Babironi akasumi kamu ekasengura Isarali yagirema kumara emyaka ensanju.,Babironi akasumi kamu ekasengura Isarali yagirema kumara emyaka ensanju.,"Babylon one time conquered Israel, took them took them to exile for 70 years.",,,Both,,
Asura,Assyria was once a kingdom in Mesopotamia.,Asura nabwo bukabaho obukama omu mesopotaniya.,Asura nabwo bukabaho obukama omu mesopotaniya.,Assyria was once a kingdom in Mesopotamia.,,,Both,,
Peresi,Curo the King of Persia released Israelists from exile to Jerusalem.,Omukama Kuro owa Peresi nuwe yalekiire Abaisaleri bagaruka Yerusalemu.,Omukama Kuro owa Peresi nuwe yalekiire Abaisaleri bagaruka Yerusalemu.,Curo the King of Persia released Israelists from exile to Jerusalem.,,,Both,,
omwiru,Slave was bought or taken as a prisoner of war.,Omwiru bamuguraga rundi bamunyaga.,Omwiru bamuguraga rundi bamunyaga.,Slave was bought or taken as a prisoner of war.,,,Both,,
obwiru,"Slavery was there in the past, in modern times it has faded away.",Obwiru bukaba buroho ira birobinu bukahwaho.,Obwiru bukaba buroho ira birobinu bukahwaho.,"Slavery was there in the past, in modern times it has faded away.",,,Both,,
Abarwanisa mbarasi,Cavalry sit on the horse back and fight.,Abarwanisa mbarasi barwanira hamigongo yembarasi.,Abarwanisa mbarasi barwanira hamigongo yembarasi.,Cavalry sit on the horse back and fight.,,,Both,,
kacweka,"Class is the division among people, others are learned poor and rich class.",Akacweka omubantu akamu kasomere akandi banaku.,Akacweka omubantu akamu kasomere akandi banaku.,"Class is the division among people, others are learned poor and rich class.",,,Both,,
orulengo,Caste is where one is born a noble or a commoner.,Orulengo rwobuzalirwaana oli mwiru rundi muhuma.,Orulengo rwobuzalirwaana oli mwiru rundi muhuma.,Caste is where one is born a noble or a commoner.,,,Both,,
ikama,Feudalism was a lot in France and caused a revolution.,Ikama likaba lingi omunsi ya'France kyarugama abantu kwimukirra gavumenti bagijumika.,Ikama likaba lingi omunsi ya'France kyarugama abantu kwimukirra gavumenti bagijumika.,Feudalism was a lot in France and caused a revolution.,,,Both,,
okusingura,victory brings happiness,okusingura kuleeta okusemererwa kwingi,okusingura kuleeta okusemererwa kwingi,victory brings happiness,,,Both,,
okusingurwa,defeat brings alot of damage,akusubgurwa obulemu kiireta kususukara,akusubgurwa obulemu kiireta kususukara,defeat brings alot of damage,,,Both,,
okuhanika,surrender saves the country getting heavy damage,okuhanika omubulemu kibakirungi thanfa tirisisikara,okuhanika omubulemu kibakirungi thanfa tirisisikara,surrender saves the country getting heavy damage,,,Both,,
endagaano,the treaty between zanzibar and tanganyika brought stability in tanzania,endagaana ug zanzibar na tanganyika bikaleeta okulekaana omu tanzania,endagaana ug zanzibar na tanganyika bikaleeta okulekaana omu tanzania,the treaty between zanzibar and tanganyika brought stability in tanzania,,,Both,,
obuziinge,peace does not come by it self his sought,obusinge tibwereeta kabuserra,obusinge tibwereeta kabuserra,peace does not come by it self his sought,,,Both,,
ekyokurwanisa,the weapon that was trusted in the past was the sword,ekyokurwanisa ira ekibaye sigaganiyo buzitama,ekyokurwanisa ira ekibaye sigaganiyo buzitama,the weapon that was trusted in the past was the sword,,,Both,,
Omurasi,The Archer is trained person to hit the target.,Omurasi wobuta ayegesibwa kuteeba omukiito.,Omurasi wobuta ayegesibwa kuteeba omukiito.,The Archer is trained person to hit the target.,,,Both,,
amahe,The Ugandan army is very strong.,Amahe ga Uganda gaina amaani maingi.,Amahe ga Uganda gaina amaani maingi.,The Ugandan army is very strong.,,,Both,,
Akisiika,Fortification in the Army scares the enemy not to attack easily.,Ekisiika kiri ekimu omumahe ekikonyera okutarumbwa.,Ekisiika kiri ekimu omumahe ekikonyera okutarumbwa.,Fortification in the Army scares the enemy not to attack easily.,,,Both,,
amahe agahamaizi,The navy of Uganda is very professional.,Amahe agahamaizi mu Uganda gagesiibwe kurungi.,Amahe agahamaizi mu Uganda gagesiibwe kurungi.,The navy of Uganda is very professional.,,,Both,,
Ebisisani Rusekesa,He watched aromatic comedy last night.,Omuzaano gw'engonzi mu bisisani Rusekesa.,Omuzaano gw'engonzi mu bisisani Rusekesa.,He watched aromatic comedy last night.,,,Both,,
Ebisisani munyikara zitalizimu,The film's drama moved everyone in tears.,Enyikara y'ebisisani byaharutimbi ebibarozire bikabaliza amaizi.,Enyikara y'ebisisani byaharutimbi ebibarozire bikabaliza amaizi.,The film's drama moved everyone in tears.,,,Both,,
Ebisisani byobujune,The watched a tragedy where a mother killed his son.,Bakarora ebisisani byobujune nambere omukazi yaisire Omwaana we.,Bakarora ebisisani byobujune nambere omukazi yaisire Omwaana we.,The watched a tragedy where a mother killed his son.,,,Both,,
Kujanga,They feel in love in the Romance film.,"Bakatandika kujanga hanyuma, yokurora ebisisani by'engonzi.","Bakatandika kujanga hanyuma, yokurora ebisisani by'engonzi.",They feel in love in the Romance film.,,,Both,,
