English,Nyoro
"I have told you this now before it all happens, so that when it does happen, you will believe. ","Hati bunu mbagambire kitakahikire, obukirikahika munyikirize. "
"Now that by your obedience to the truth you have purified yourselves and have come to have a sincere love for other believers, love one another earnestly with all your heart.","Baitu obumumazire okweza obwomezi bwanyu omu kuhu’ra kwanyu ebyamazima okugonzaga bene banyu hataloho bugobya, mugonzangane omu mutima nokugonza kwingi: "
"Then Jesus said to the chief priests and the officers of the Temple guard and the elders who had come there to get him, “Did you have to come with swords and clubs, as though I were an outlaw? ","Kandi Yesu yabagambira abanyakatagara abakuru nabalinzi abeyekaru, nabakuru obubamuizirire ati Munyizirire nkokumuizira ati Munyizirire nkokumuizira omunyagi nempirima nemiigo? "
"So when I come to you, my friends, what use will I be to you if I speak in strange tongues? Not a bit, unless I bring you some revelation from God or some knowledge or some inspired message or some teaching.","Baitu hati bunu, bene baitu obundiija namberemuli ningamba endimi, kiribagasiraki, obuntalibaza nainywe omu kusuku’ra, rundi omu kumanya, rundi omu kutebeza, rundi omu kwegesa? "
"because they are God's servants working for your own good. But if you do evil, then be afraid of them, because their power to punish is real. They are God's servants and carry out God's punishment on those who do evil. ","baitu nuwe mukwenda wa Ruhanga haliwe obwoburungi. Baitu oraba nokora ekibihire, tina; baitu takwatira busa empirima: baitu nuwe mukwenda wa Ruhanga, omuhozi wenzigu hali anyakukora obubi. "
"The king was sad, but because of the promise he had made in front of all his guests he gave orders that her wish be granted. ","Omukama yasalirwa; baitu habwebirahirobye, na habwabu abakaba baikalire nauwe ha byokulya, yaragira okugumuha; "
"Jesus said to him, “Get up, pick up your mat, and walk.” ","Yesu yanugambira ati imuka, ohimbe ekirago kyawe, ogende. "
"The number of men who ate was four thousand, not counting the women and children.","Nabo abalire bakaba bali abasaija enkumi ina, abakazi nabana bato okutababaraho."
"Then the chief priests and the elders met together in the palace of Caiaphas, the High Priest, ","Nubwo banyakatagara abakuru, nabakuru babantu bayesoroza omu kibira kya nyakatagara omukuru wabu, ibaralye Kayafa; "
"He has brought us by faith into this experience of God's grace, in which we now live. And so we boast",ayatutahize obwokuikiriza omu; kandi twenyumize obwokunihira ekitnisa kya Ruhanga. 
"“Sir, my servant is sick in bed at home, unable to move and suffering terribly.”","namwesengereza, nagamba ati Mukama wange, omuiru wange abyamire omunju azingamire, nahu’rwa muno. "
"when I say how great is my sorrow, how endless the pain in my heart ","Mwoyo Ogurukwera, ngu ninsasa muno kandi nintuntura okutaikya omu mutima gwange. "
"If the woman does not cover her head, she might as well cut her hair. And since it is a shameful thing for a woman to shave her head or cut her hair, she should cover her head. ","Baitu omukazi obwatesweke’ra, hakire eyemwe: kandi obukiraba kiri kyensoni hali omukazi okusarwa isoke, rundi okwemwa, ayesweke’re. "
"So the foolish ones went off to buy some oil; and while they were gone, the bridegroom arrived. The five who were ready went in with him to the wedding feast, and the door was closed.","Nabo obubakaba bagenzire okugura, omuswezi yaija; nabo obubakaba bagenzire okugura, omuswezi yaija; nabo abakaba batekanize bahingura nauwe omubugenyi obwobugole. "
"The words “once more” plainly show that the created things will be shaken and removed, so that the things that cannot be shaken will remain.","Kandi kinungu Hasigaireho omurundi gumu, nikimanyisa okuihibwaho kwebi ebitengesebwa, nibyo byahangirwe, nukwo ebi ebitaruku "
These are the twelve he chose: Simon (Jesus gave him the name Peter); ,Kandi Simoni akamuruka ibara Petero; 
"Just as the weeds are gathered up and burned in the fire, so the same thing will happen at the end of the age: ",Nukwo nkemberya okuzisorozebwa okwokebwa omu mu’ro; nukwo kiriba kiti hampero yensi. 
 I sent Tychicus to Ephesus. ,Baitu Tukiko nkamutuma Efeso. 
"He is the God of the living, not of the dead, for to him all are alive.”","Nukwo, tali Ruhanga wa bafu, baitu wabomezi: baitu bona bomire habwe. "
"He helps us in all our troubles, so that we are able to help others who have all kinds of troubles, using the same help that we ourselves have received from God. ","arukutuhumuza omu muhito gwaitu gwona, nukwo tusobole okuhumuza abo abali omu muhito gwona, nokuhumura okutuhumuzibwa Ruhanga. "
"because he was teaching his disciples: “The Son of Man will be handed over to those who will kill him. Three days later, however, he will rise to life.”","Baitu akegesa abegeswabem, yabagambira ati Omwana womuntu yahebwayo omu mikono yabantu, balimuita; kandi obwalimara okuitwa, nebiro bisatu buhinguireho, alihumbuka. "
"What I mean is that both you and I will be helped at the same time, you by my faith and I by yours.",nukwo nyowe okuhumuzibwa hamu nainywe itwembi habwokuikiriza okwanyu nokwange. 
" None of the rulers of this world knew this wisdom. If they had known it, they would not have crucified the Lord of glory. ",agatakamanywaga abakuru abomu businge bunu: baitu kuba bamanyire tibakubambire ha muti Mukama wekitinisa: 
"“Sir,” they answered, “we want you to give us our sight!”","Bamugambira ngu Mukama waitu, amaiso gaitu gaiguke. "
"But we haven't made use of this right. Instead, we have endured everything in order not to put any obstacle in the way of the Good News about Christ. ","Abandi baraba banyina obusobozi bunu balinywe, naitwe titurukukira? Baitu itwe tutakwate obusobozi bunu, baitu ntugumisiriza byona, tutaleta ekitinisa enjiri ya Kristo. "
"It was more than we could have hoped for! First they gave themselves to the Lord; and then, by God's will they gave themselves to us as well. ","kandi tikuli kwonka nka itwe okutwanihire baitu okubanza bakehayo bonka hali Mukama waitu naitwe, nka Ruhanga okuyagondeze. "
"heal the sick in that town, and say to the people there, ‘The Kingdom of God has come near you.’ ","mukizege abarwaire abanyakuli omu, mubagambirege ngu Obukama bwa Ruhanga bubairire haihi. "
"and by this time the boat was far out in the lake, tossed about by the waves, because the wind was blowing against it.",Baitu obwato bukaba gubaturukire omu maiso. 
"when four men arrived, carrying a paralyzed man to Jesus. ","Baija, nibaleta omurwaire azingamire, bamuhimbire bana. "
For they set out on their trip in the service of Christ without accepting any help from unbelievers. ,"baitu bakaturuka habwa Ibara, batarukuhabwa ekintu kyona Abamahanga. "
The grace of the Lord Jesus be with you.,Embabazi za Mukama waitu Yesu Kristo ziikale nainywe. 
"So then, why do you now want to put God to the test by laying a load on the backs of the believers which neither our ancestors nor we ourselves were able to carry? ","Nukwo hati bunu nimulengera ki Ruhanga, okuta orusengo omu bikya byageswa, baisenkuru itwe ekibatarasoboire okutwara, nobubakuba itwe? "
"‘Do you want to kill me, just as you killed that Egyptian yesterday?’ ",noyenda okunyita nyowe nkokuwaisire ijo Omumisiri? 
"But the disciples did not know what this meant. It had been hidden from them so that they could not understand it, and they were afraid to ask him about the matter.","Baitu batamanye kigambo eki, kikaba kibaserekerwe, batakikenga: nibatina okumukaguza ekigambo eki."
"When he left the crowd and went into the house, his disciples asked him to explain this saying. ","Kandi obuyatahire omu nju, arugire omu kitebe, abegeswabe bamukaguza orufumo oru. "
"You don't even know what your life tomorrow will be! You are like a puff of smoke, which appears for a moment and then disappears. ",baitu timurukumanya ekiribaho ijo. Obwomezi bwanyu kiki? Baitu muli ekiho ekinyakurorwa akacu kake nikihwaho. 
"Then he went back upstairs, broke bread, and ate. After talking with them for a long time, even until sunrise, Paul left. ","Kandi obuyamazire okutemba nokucwa omugati, nokulya, nokubaza nabo ekicu ekikoto, okukisa obuire, yarugayo. "
The disciples saw this and were astounded. “How did the fig tree dry up so quickly?” they asked.,"Abegeswabe obubaboine bahuni’ra, nibagamba ngu Omutini gwomere guta bwango? "
Love is made perfect in us in order that we may have courage on the Judgment Day; and we will have it because our life in this world is the same as Christ's. ,"Omu kinu numwo okugonza kuhikirizibwa halitwe, tube nobumanzi ha kiro kyomusango, kandi nkokwari naitwe nukwo tuli omu nsi munu. "
"You must not be called ‘Teacher,’ because you are all equal and have only one Teacher. ","baitu inywe mutalyetwa Rabi; baitu omwegesa wanyu ali omu, "
"It was on the road at midday, Your Majesty, that I saw a light much brighter than the sun, coming from the sky and shining around me and the men traveling with me. ","omu ihangwe, ai omukama, nkabona ha muhanda omusana ogwarugire ha iguru, okukira okwangasana kwa izoba, gugwire okunyehinguliriza nabo abakaba nibagenda nanyowe. "
I am telling you the truth: whoever obeys my teaching will never die.”,Mali mali nimbagambira nti Omuntu obwakwata ekigambo kyange talibona kufa ebiro nebiro. 
"I want you to give special emphasis to these matters, so that those who believe in God may be concerned with giving their time to doing good deeds, which are good and useful for everyone. ","Ekigambo kinu kyokwesiga, kandi hali ebi ningonza iwe okugumiza kimu, nukwo abo abaikirize Ruhanga baijukege okutaho emitima ha ngeso enungi. Ebigambo ebi birungi, "
"And I know that his command brings eternal life. What I say, then, is what the Father has told me to say.”","Kandi manyire ebiragirobye nubwo bwomezi obutahwaho: ebigambo ebingamba nka Isenyowe okuyangambire, nukwo ngamba nti."
" The great city was split into three parts, and the cities of all countries were destroyed. God remembered great Babylon and made her drink the wine from his cup—the wine of his furious anger. ","Orubuga orukuru rwabaganizibwamu omu bickweka bisatu, nembuga zamahanga zagwa: na Baburoni orukuru rwaijukirwa omu maiso ga Ruhanga, okuruha akatema akamarwa agekinigakye ekingi. "
"But when the sun came up, it burned the young plants; and because the roots had not grown deep enough, the plants soon dried up. ","izoba obulyaturukire yahotoka, baitu ekaba etanyina mihama, yayoma. "
"“Seven loaves,” they answered, “and a few small fish.”",Yesu yabagambira ati muyina emigati ingaha?
"Heaven and earth will pass away, but my words will never pass away.",Iguru nensi birihwaho: baitu ebigambo byange tibirihwaho. 
"At the same time pray also for us, so that God will give us a good opportunity to preach his message about the secret of Christ. For that is why I am now in prison. ","kandi nimusabira naitwe, Ruhanga atukungu’raho oruigi orwekigambo, okugamba ekyensita kya kristo, ekindi omunyankomo habwakyo: "
"and you do not keep his message in your hearts, for you do not believe in the one whom he sent. ",Kandi timunyina ebigambobye ebiikara omulinywe; baitu ogu ouyatumire timurukumuikiriza. 
He did not say a word.,Nukwo atayasamya akanwake:
"Many of them believed his message and were baptized, and about three thousand people were added to the group that day. ",Nukwo abo abaikirize ekigambokye babatizibwa: kandi bakongerwaho ha kiro eki abantu nkenkumi isatu. 
"as unknown, yet we are known by all; as though we were dead, but, as you see, we live on. Although punished, we are not killed; ","nkabo abatarukumanywa, baitu tumanyirwe: nkabanyakufa, baitu dora, twomire; nkababonabonesebwa, baitu tituisirwe; "
"My dear children! Once again, just like a mother in childbirth, I feel the same kind of pain for you until Christ's nature is formed in you. ","Abana bange abato abandukusali’rwa kandi, okuhikya Kristo obwalifokera omulinywe, "
"He should be a man who is respected by the people outside the church, so that he will not be disgraced and fall into the Devil's trap.",kandi nikimuhiki’ra okuba nokugambwa kurungi hali abo abaheru; aleke okugwa omu kujumwa nendubatira ebya Setani. 
Peter stayed on in Joppa for many days with a tanner of leather named Simon.,"Kandi kyahika yaikarayo ebiro bingi omu Yopa, omu nju ya Simoni omuhazi wempu."
"Large crowds came to him, bringing with them the lame, the blind, the crippled, the dumb, and many other sick people, whom they placed at Jesus' feet; and he healed them. ","Ebitebe bingi bikaija namberali, balesere abarukusenjura, nabatu bamaiso, nabafu bakanwa, nabaramaire, nabandi baingi, nibabata ha bigerebye; "
"Some of the people concluded that Alexander was responsible, since the Jews made him go up to the front. Then Alexander motioned with his hand for the people to be silent, and he tried to make a speech of defense. ","Kandi baiha Alegezanda omu kitebe, Abayudaya nibamucumiriza. Kandi Alegezanda yabaculeza nomukono, nayenda okwetonganira hali abantu. "
"Of course some of them preach Christ because they are jealous and quarrelsome, but others from genuine good will. ",Abandi nibatebeza Kristo obwihali nokukungana; nabandi nibatebeza obwembabazi: 
"“Go and call your husband,” Jesus told her, “and come back.”","Yesu yamugambira ati Genda, oyete baro, ogaruke oije hanu. "
"“But get up and go into the city, where you will be told what you must do.”","baitu imuka, otahe omu rubuga, oragambirwa ebikuhikirire okukora. "
"So the chief priests made plans to kill Lazarus too, ",baitu banyakatagara abakuru bakacwa amagezii baite na Lazaro; 
But the father called to his servants. ‘Hurry!’ he said. ‘Bring the best robe and put it on him. Put a ring on his finger and shoes on his feet. ,"Baitu ise yagambira abairube rubale ati Mulete bwango ekyokujwara ekirukukira oburungi, mukimujweke; nakoma mukamujweke omu rukumu, nenkaito omu bigere: "
"Jesus knew their thoughts and said to them, “Why do you think such things? ","Baitu Yesu yamanya empaka zabu, yagarukamu nabagambira ati Nimute’ra ki empaka omu mitima yanyu? "
"But I want you to understand that Christ is supreme over every man, the husband is supreme over his wife, and God is supreme over Christ. ",Kandi ningonza inywe mumanye ngu Kristo nuwe mutwe gwomusaija wena; baitu omutwe ogwa Kristo Ruhanga. 
Not only did he welcome our request; he was so eager to help that of his own free will he decided to go to you. ,"Baitu mazimakwo akaikiriza okugambi’ra kwaitu; kandi obwakaba anyina okwekamba kwingi, akaimukya okugenda namberemuli ayetumire wenka. "
"Your conduct among the heathen should be so good that when they accuse you of being evildoers, they will have to recognize your good deeds and so praise God on the Day of his coming.","munyina engeso zanyu ezisemire omuli Abamahanga; kandi nobubabageya nkabakozi bobubi, baitu obwengeso zanyu enungi ezibarora, banyumize Ruhanga ha kiro kyokubungirwamu. "
"For the others offered their gifts from what they had to spare of their riches; but she, poor as she is, gave all she had to live on.”","baitu banu bona nbanagagiremuga hali ebisembo ebibasagirire: baitu ogu omu masegege anagiremu byona ebyayinabyo, niryo itungolye lyona. "
"This is the Good News about Jesus Christ, the Son of God.","OKUBANZA okwenjiri ya Yesu Kristo, Omwana wa Ruhanga. "
"When Jesus left that place, the teachers of the Law and the Pharisees began to criticize him bitterly and ask him questions about many things, ","Kandi obuyarugireyo, abahandiki Nabafalisayo bakabanza okumufunza muno, nokumwohya okugamba ebigambo bingi; "
The next Sabbath nearly everyone in the town came to hear the word of the Lord. ,"Kandi ha Sabiti eyakabiri bakagomera hamu nkorubuga rwona, okuhu'ra ekigambo kya Ruhanga. "
"But it is one and the same Spirit who does all this; as he wishes, he gives a different gift to each person.","baitu ebi byona Omwoyo omu nuwe abikora, nagambira bona omuomu nkokwagonza."
" You must remove the old yeast of sin so that you will be entirely pure. Then you will be like a new batch of dough without any yeast, as indeed I know you actually are. For our Passover Festival is ready, now that Christ, our Passover lamb, has been sacrificed. ","Muihemu ekitumbisa ekyaira, mufoke ekiihuro ekihyaka, nkokumutalimu ekitumbisa. Baitu Nokuhingungurwaho kwaitu kukaitwa, nuwe Kristo: "
"More than that, we are shown to be lying about God, because we said that he raised Christ from death—but if it is true that the dead are not raised to life, then he did not raise Christ. ","Kandi naitwe tuzokere nkabakaiso abebisuba aba Ruhanga; baitu tukatebeza ebya Ruhanga ngu akahumbura Kristo owatarahumbuire, rundi abafu obubaraba batahumburwa. "
" For if you want to save your own life, you will lose it, but if you lose your life for my sake, you will save it. ","Baitu wena anyakwenda okukiza obwomezibwe alibubuza: baitu wena anyakubuza obwomezibwe habwange, nuwe alibukiza. "
"I know that after I leave, fierce wolves will come among you, and they will not spare the flock. ","Manyirwe obundikamara okurugaho, enyamaiswa ezirukuruma lritaha omulinywe ezitalinganyira igana; "
It could have been sold for more than three hundred silver coins,"baitu amagita ganu bakusoboire okugaguramu edinali bikumi bisatu nokukiraho, nokukgabira abasege. "
 respect your father and your mother; and love your neighbor as you love yourself.”,otinege ‘so na nyoko: gonza omutahi wawe nkokwoyegonza wenka. 
"In the following instructions, however, I do not praise you, because your meetings for worship actually do more harm than good. ","Baitu obumbaragira ekigambo kinu tindukubasima, nti timwesoroza hamu obwebi ebikira oburungi, baitu obwebi ebikira obubi. "
"After Jesus said this, he went on in front of them toward Jerusalem. ",Kandi obuyamazire okubaza ati yabebembera natemba okugenda Yerusalemu. 
and spent all their time in the Temple giving thanks to God.,kandi baikaraga obutosa omu yekaru nibakugiza Ruhanga.
is the very thing God prepared for those who love him.”,Nibyo Ruhanga yatekanirize abarukumugonza. 
"Jesus and his disciples were at supper. The Devil had already put into the heart of Judas, the son of Simon Iscariot, the thought of betraying Jesus.","Obubakaba nibalya ebyokulya byorwebagyo, Setani obuyamazire ira okwohya Yuda Isikalyota. Omwana wa simony, omu mutimagwe okumugobeza. "
" for God will judge you in the same way you judge others, and he will apply to you the same rules you apply to others. ","Baitu omusango ogumucwa, nainywe muligucwerwa: nendengo eyimurengeramu, nainywe muligirengerwamu. "
"and asked him, “What right do you have to do these things? Who gave you such right?”",bamugambira ngu Busabozi ki oburukukukoza binu? 
" If I have, as it were, fought “wild beasts” here in Ephesus simply from human motives, what have I gained? But if the dead are not raised to life, then, as the saying goes, “Let us eat and drink, for tomorrow we will die.”","Rundi obundaba narwanire Efeso nenyamaiswa, nkabantu okubagira nikingasira ki? Abafu obubatahumbuka tulye, tunywe, baitu turafa nyenkya. "
"and at once they left the boat and their father, and went with him.","Ahonaho basigaho obwato ona isebo, bamukuratira."
"Jesus said to them, “How unbelieving you people are! How long must I stay with you? How long do I have to put up with you? Bring the boy to me!” ",Yabagarukamu nagamba ati Inywe abobusinge obutarukuikiriza ndihikya nkaha okuikara nainywe? Ndihikya nkaha okubagumisiriza? Mumulete namberendi. 
"His answer made his enemies ashamed of themselves, while the people rejoiced over all the wonderful things that he did.",Kandi obuyagambire ebi abanyanzigwabe bona bakwatwa ensoni: ekitebe kyona kyasemere’rwa ebigambo byona ebyekitinisa ebyakozirwe uwe. 
"Blind fools! Which is more important, the gold or the Temple which makes the gold holy? ","inywe abadomadoma, abafu bamaiso; baitu ekirukukira, obukuru kiraha? Ezabu rundi yekaru erukweza ezabu? "
"Simon said to Peter and John, “Please pray to the Lord for me, so that none of these things you spoke of will happen to me.”","Simoni yagarukamu nagamba ati Inywe munsabire hali Mukama waitu, ebigambo ebi ebimugambire bireke okumbaho nekimu."
"So then, the gift of speaking in strange tongues is proof for unbelievers, not for believers, while the gift of proclaiming God's message is proof for believers, not for unbelievers.","Nukwo endimi tibuli bwokuro’raho hali abarukuikiriza, baitu hali abatarukuikiriza: baitu okutebeza tikali kokuro’raho hali abatarukiriza. "
"You have never known him, but I know him. If I were to say that I do not know him, I would be a liar like you. But I do know him, and I obey his word. ","baitu nyowe nimumanya; obundaba ningamba nti tindukumumanyandasisana nkainywe, omubihi baitu nimumanya, kandi niwe nkwata ekigambokye. "
"The people started grumbling about him, because he said, “I am the bread that came down from heaven.” ","Abayudaya nikyo bamuhyemerire, baitu akagamba ati Ninyowe byokulya ebyarugire omu iguru. "
"Jesus said to her, “My daughter, your faith has made you well. Go in peace.”","Uwe yamugambira ati Omumuisiki, okuikiriza kwawe nukwo kukukirize, genda nobusinge. "
"So then, everything depends, not on what we humans want or do, but only on God's mercy. ","Nukwo tikiri kyogu anyakwenda, nobwakuba anyakuiruka, baitu kya Ruhanga arukuganyira. "
"Peter spoke up, “Explain this saying to us.”",Petero yagarukamu namugambira ati otusobo’re orufumo runu. 
" If a circumcised man has accepted God's call, he should not try to remove the marks of circumcision; if an uncircumcised man has accepted God's call, he should not get circumcised. ",Haroho omuntu ayayeserwe atasazirwe? Aleke okusarwa. 
"And so in this case, I tell you, do not take any action against these men. Leave them alone! If what they have planned and done is of human origin, it will disappear, ","Na hati bunu nimbagambira nti Mubarugeho abantu banu, mubaleke: baitu amagezi ganu nomulimo gunu biraba birugire omu bantu, birihwereke'ra: "
"I tell you that many prophets and kings wanted to see what you see, but they could not, and to hear what you hear, but they did not.”","baitu nimbagambira nti Banabi nabakama baingi bakagonza okurora ebimurukurora, tibabibona; nokuhu’ra ebimurukuhu’ra tibabihu’ra. "
"We are witnesses to these things—we and the Holy Spirit, who is God's gift to those who obey him.”",Naitwe tuli bakaiso abebigambo ebi: kandi Nomwoyo Ogurukwera Ruhanga ouyabahaire abanyakumworobera.
"Instead, be concerned with his Kingdom, and he will provide you with these things.","Baitu inywemuse’re obukamabwe, nebi byona biribaga’rwaho. "
"The woman said to him, “I know that the Messiah will come, and when he comes, he will tell us everything.”",Omukazi yamugambira ati manyire nti Masiya naija ( ayetwa kristo): obwaliija alitusobo’ra ebigambo byona. 
"About three hours later his wife, not knowing what had happened, came in. ","Kandi esaha nkisatu zihinguireho mukaziwe yatahamu, atamanyire ebyabaireho. "
"If you hurt others because of something you eat, then you are no longer acting from love. Do not let the food that you eat ruin the person for whom Christ died! ","Baitu mugnzi wawe rundi aliba natuntura obwebyokulya, iwe tokyagendera omu kugonza. Otamuhwerekereza nebyokulya byawe ogu Kristo ouyaferire. "
"At that very time Jesus healed many people from their sicknesses, diseases, and evil spirits, and gave sight to many blind people. ",Omu kicu eki akakiza baingi endwara norufu nemizimu emibi; nabafu bamaiso akabaigura amaiso. 
"For we are the people he called, not only from among the Jews but also from among the Gentiles. ","nitwe abayayesere hatali omu Bayudaya bonka, baitu nomu Bamahanga? "
"The two of them were running, but the other disciple ran faster than Peter and reached the tomb first. ","Bairuka bombi hamu: nomwegeswa ogu ondi yahinguraho Petero, yabanza okuhika ha kituro: "
"I do not ask you to take them out of the world, but I do ask you to keep them safe from the Evil One. ","Tindukusaba iwe okubaihamu omu nsi, baitu obalinde omu bubi. "
"“I am telling you the truth,” Jesus said. “What Moses gave you was not",Kandi Yesu yabagambira ati Mali mali nimbagambira nti Tali Musa yabahaire ebyokulya ebyarugire omu iguru; rundi Isenyowe nuwe abaha ebyokulya ebyamananu ebiruga omu iguru. 
"The girl hurried back at once to the king and demanded, “I want you to give me here and now the head of John the Baptist on a plate!”","Ahonaho yarahuka naija hali omukama, yasaba, nagamba ati Ninyenda ompere bunu bunu omurucuba, omutwe gwa Yohana Omubatizi. "
Then the sailors tried to escape from the ship; they lowered the boat into the water and pretended that they were going to put out some anchors from the front of the ship. ,"Kandi abalimba obubakaba nibagonza okuiruka omu kyombo, bamazire okuta obwato ha nyanja, nibasisana okwenda okunaga ebinyakusibika ha mutwe gwekyombo, "
"but for your sake I am glad that I was not with him, so that you will believe. Let us go to him.”","Nanyowe mpirirwe habwanyu, baitu nkaba ntaloho, muikirize; baitu tugende namberali. "
"they saw him, but somehow did not recognize him. ",Baitu amaiso gabu gatangwa batamumanyi’ra. 
The chief priests and the elders persuaded the crowd to ask Pilate to set Barabbas free and have Jesus put to death. ,"Baitu banyakatagara abakuru nabakuru bakagambi’ra ebitebe okusaba baraba, bahwerekereze Yesu. "
"For this reason the Wisdom of God said, ‘I will send them prophets and messengers; they will kill some of them and persecute others.’ ","Namagezi ga Ruhanga nikyo gambire ngu Ndituma nambere bali banabi nabakwenda; abamu hali abo balibaita, balibahiga; "
"‘Well done, you good and faithful servant!’ said his master. ‘You have been faithful in managing small amounts, so I will put you in charge of large amounts. Come on in and share my happiness!’ ",Mukamawe yamugambira Okozire iwe omuiru rubale omurungi; owokwesiga; okaba oli wokwesiga omu bike ndakusigira bingi. Taha mukusemererwa okwomukama wawe. 
"For it was by hope that we were saved; but if we see what we hope for, then it is not really hope. For who of us hopes for something we see? ",Baitu tukajunwa omu kunihira: baitu okunihira okurukurorwa tikuli kunihira: baitu okunihira okurukurorwa tikuli kunihira: baitu noha anihira ekyarukurora? 
"So then, whoever disobeys even the least important of the commandments and teaches others to do the same, will be least in the Kingdom of heaven. On the other hand, whoever obeys the Law and teaches others to do the same, will be great in the Kingdom of heaven. ","Nukwo omuntu wena alisisa ekimu ekyomubiragiro binu ebike, nayegesa ati abantu, alyetwa muke mali omu bukama obwomu iguru: kandi wena alibikwata nabyegesa, ogu alyetwa mukuru omu bukama obwomu iguru.. "
“Barabbas!” they answered.,"Baitu Omulemi yagarukamu nabagambira ati Noha halibo ababiri, omurukwenda ‘mubalekere’re? Bagamba ngu baraba. "
The children of your dear Sister,Abana bomugenzi wawe akomerwemu bakuramukize.
And so I do my best always to have a clear conscience before God and people.,"Kandi nyowe nyekamba omu kigambo kinu, okuikara nomutima ogutaloho musango hali Ruhanga na hali abantu ebiro byona. "
"The poor man died and was carried by the angels to sit beside Abraham at the feast in heaven. The rich man died and was buried, ","Kandi kyahika omulegi akafa, yahimbwa bamaraika hali ekifuba kya Iburahimu: omugunda nauwe akafa, yazikwa. "
"“Once there was a man who went out to sow grain. As he scattered the seed in the field, some of it fell along the path, where it was stepped on, and the birds ate it up. ","Omusigi akatura okusiga embiboye: obwakaba nasiga, embibo emu yagwa ha muhanda rubaju; yalibatwa, enyonyi ezahagati zagisoma. "
"for I am with you. No one will be able to harm you, for many in this city are my people.” ","baitu nyowe ndi hamu naiwe, kandi busaho muntu arakuizira okukukora kubi: baitu ndina abantu baingi, omu rubuga runu. "
"So Pilate said to him, “Don't you hear all these things they accuse you of?”",Nubwo Pirato yamugambire ati Torukuhu’ra bigambo binu ebibakuhambirize okubiri? 
"and asked them, “Is this your son? You say that he was born blind; how is it, then, that he can now see?”",nibabakaguza nibagamba ngu Onu nuwe mwana wanyu oumugamba ngu Akazarwa omufu wamaiso? Hati bunu nahweza ata? 
" And if your eye makes you lose your faith, take it out! It is better for you to enter the Kingdom of God with only one eye than to keep both eyes and be thrown into hell. ","Neriso lyawe obulikwesitaza, oliihemuga; hakire iwe okutaha omu bukama bwa Ruhanga oyina eriso limu, okukira okunagwa omu Gehene, oyina amaiso gombi; "
"the fifth onyx, the sixth carnelian, the seventh yellow quartz, the eighth beryl, the ninth topaz, the tenth chalcedony, the eleventh turquoise, the twelfth amethyst. ",ogwakatano sadonukisi; ogwomukaga sadio; ogwomusanju kurusoliso; ogwomunana berulo; ogwomwenda topazi; ogwikumi kurosoperaso; ogwikumi na gumu hwakinso; ogwikumi nebiri amesisito. 
"From there we sailed on and arrived in the city of Rhegium. The next day a wind began to blow from the south, and in two days we came to the town of Puteoli. ","Kandi okurugayo twayehinguliriza, twahika Regio: kandi ekiro kimu obukytahinguireho, embeho eyobukizi obwobulyo yatera, kandi na kiro ekyakabiri TWAHIKA Puteoli: "
"The thief comes only in order to steal, kill, and destroy. I have come in order that you might have life—life in all its fullness.","Omusuma taija, rundi okuiba, nokuita, nokuhwerekereza: Nyowe nkaija zibe nobwomezi, kandi zibe nabwo obwingi: "
"Do not, because of food, destroy what God has done. All foods may be eaten, but it is wrong to eat anything that will cause someone else to fall into sin. ",Otasisa omulimo gwa Ruhanga habwebyokulya. Byona bisemire; baitu kiba kibi hali ogu anyakulya nagarukyagurukya. 
Above him were written these words: “This is the King of the Jews.”,Kandi hakaba haloho nekihandiko ha ruguruwe ngu NUWONU MUKAMA WABAYUDAYA. 
I assure you that there are some here who will not die until they have seen the Son of Man come as King.”,"Mananukwo nimbagambira nti Haroho hali banu abemerire hanu abataliroza ha kufa na kake, okuhikya obubalirora Omwana womuntu naija omu bukamabwe."
"When Peter went into the house, Jesus spoke up first, “Simon, what is your opinion? Who pays duties or taxes to the kings of this world? The citizens of the country or the foreigners?”","yagamba ati Nagihonga. Obuyatahire omu nju, Yesu yamubanza okugamba ati Notekereza ota, Simoni? Abakama abensi nibahebwa ehozo rundi omusoro omu Bantu ki? omu bana babu, rundi omu banyaihanga? "
"Now I am sending these believers, so that our boasting about you in this matter may not turn out to be empty words. But, just as I said, you will be ready with your help. ","Baitu nkatuma bene baitu, okwenyumiza kwaitu habwanyu kutaba kwabusa omu kigambo kinu: nkokunagambire, inywe mwetekanizege: "
"If he was put right with God by the things he did, he would have something to boast about—but not in God's sight. ","Baitu kuba Iburahimu yaihibweho omusango obwemirimo, yakubaireho ebyokukwenyumiza; baitu tanyinakyo hali Ruhanga. "
The Lamb went and took the scroll from the right hand of the one who sits on the throne. ,Kandi gukaija gwaiha ekitabu omu mukono ogwobulyo gwogu anyakuikalire ha kitebe kyobukama. 
Day and night we ask him with all our heart to let us see you personally and supply what is needed in your faith.,"Nyamusana nekiro ntusaba muno muno okubarora amaiso ganyu, nokuhikiriza ebitahikire omu kuikiriza kwanyu? "
I tell you indeed: the punishment for all these murders will fall on the people of this day!,nekyoto. Mananukwo nimbagambira nti Ebigambo binu byona biribahikaho habwobusinge bunu.
"So then, whoever rejects this teaching is not rejecting a human being, but God, who gives you his Holy Spirit.","Nukwo arukwanga, tayanga omuntu, baitu Ruhanga, arukubaha inywe Omwoyogwe Ogurukwera."
